Time,Month,Hour,Day,PJM_AP,PJM_ATSI,PJM_COMD,PJM_Dom,PJM_EMAC,PJM_PENE,PJM_SMAC,PJM_WMAC,PJM_West,ATLSHR,OCN1,OCN2,SKPJK1,SKPJK2,MRWN,MMTM,CVOW,onsh_WIND
1398,2,7,59,0.838919774,0.965413267,0.938065119,0.630491631,0.893610227,0.69252482,0.999466934,0.561267652,0.860564561,0.009674618,0.020204179,0.049472381,0.591125607,0.591125608,0.706015469,0.77857965,0.334160209,0.834354895
1399,2,8,59,0.830218871,0.99559276,0.809566112,0.636834052,0.890403684,0.713569541,0.999843764,0.545236348,0.861219148,0.001669981,0.004343289,0,0.392289698,0.392289698,0.707502963,0.769432899,0.340974807,0.830405927
1400,2,9,59,0.820493251,0.9976871,0.639023598,0.640201926,0.874633023,0.738656051,0.999779428,0.411417745,0.820980403,0.005102637,0.001756926,0,0.287194609,0.28719461,0.530730128,0.475335479,0.301959336,0.801697513
1401,2,10,59,0.717003322,0.990748744,0.349612902,0.606198932,0.796642793,0.637385463,0.986348577,0.147104819,0.807538151,0,0,0,0.0161434,0.0161434,0.276221633,0.229873686,0.370305121,0.724760517
1402,2,11,59,0.605445753,0.95704357,0.133906388,0.542592547,0.704762033,0.432830689,0.76168379,0.084188044,0.834500569,0,0,0,0,0,0.109818846,0.097423509,0.227826476,0.647654812
1403,2,12,59,0.558593594,0.891227006,0.043128206,0.477942564,0.650315599,0.487268521,0.668751157,0.087120786,0.649596875,0,0,0,0,0,0.044900097,0.023952536,0.196148008,0.568156018
1404,2,13,59,0.572401079,0.859699629,0.017636466,0.54396419,0.636967924,0.648167049,0.638567638,0.126481456,0.675652299,0,0,0,0,0,0.013204647,0,0.125097796,0.590190104
1405,2,14,59,0.520738844,0.867163708,0.03949517,0.633316941,0.6332771,0.704792308,0.551600044,0.168547918,0.650582163,0.010780672,0.036270712,0.058401059,0,0,0,0,0.159732133,0.586113837
1406,2,15,59,0.527390284,0.835146439,0.057972904,0.603031019,0.610265772,0.732092618,0.570690881,0.219999235,0.645057464,0.053895075,0.049837067,0.034718379,0.059370123,0.059370123,0,0,0.168483764,0.584081963
1407,2,16,59,0.565331448,0.693934239,0.138003641,0.58631616,0.637909496,0.737983051,0.567776124,0.272808984,0.613147209,0.040584117,0.033598904,0.024712408,0.148922265,0.148922264,0.008630049,0.009532793,0.268823802,0.579757458
1408,2,17,59,0.522619642,0.5903411,0.253991004,0.525249362,0.635859521,0.786399808,0.5811439,0.405570736,0.526521693,0.099791668,0.078226328,0.119871691,0.308968663,0.308968663,0.084277526,0.074251816,0.420438945,0.553774042
1409,2,18,59,0.654407739,0.800048355,0.328388541,0.602126892,0.707919896,0.817954448,0.706289979,0.805175976,0.416665171,0.204622075,0.178861351,0.282827854,0.637092831,0.637092832,0.11161223,0.183864385,0.528508066,0.624167549
1410,2,19,59,0.754203346,0.753676992,0.477729923,0.618189546,0.832298443,0.78082584,0.891482403,0.993149302,0.402688723,0.221343533,0.260757148,0.178728193,0.352059781,0.352059781,0.056638364,0.187089324,0.292144954,0.679692229
1411,2,20,59,0.813827085,0.923402663,0.784601358,0.675606076,0.900698057,0.88036602,0.993033392,0.942431198,0.384799511,0.278136701,0.155539408,0.200139851,0.287866294,0.287866295,0.052738928,0.047901549,0.305323422,0.741488682
1412,2,21,59,0.882217059,0.870115957,0.846484875,0.684834247,0.923169491,0.918100291,1,0.8448585,0.392789795,0.165360987,0.088802479,0.170197367,0.272729099,0.272729099,0.000340409,0.041047186,0.335696429,0.754823357
1413,2,22,59,0.823300844,0.752957762,0.856109692,0.687135616,0.916609911,0.877761706,1,0.729397245,0.430375748,0.172276915,0.267370522,0.392506183,0.093572631,0.093572631,0,0.112567827,0.509479165,0.731795958
1414,2,23,59,0.747443698,0.605113231,0.854957076,0.666572409,0.896234569,0.916476976,0.995570031,0.606135363,0.434663867,0.035199299,0.121036141,0.632259487,0.039436519,0.039436519,0,0.123924434,0.399560183,0.695550902
1415,2,24,59,0.644812729,0.403508694,0.819329985,0.628820721,0.90195461,0.941312214,0.988251896,0.525400611,0.488186286,0.095883049,0.631942512,0.804886462,0.009019918,0.009019917,0,0,0.191370621,0.664594061
1416,3,1,60,0.508049441,0.158372748,0.771310016,0.676848115,0.827407075,0.76562395,0.847328331,0.375754648,0.47848734,0.270467669,0.691779494,0.520983219,0.121029049,0.121029049,0.035880729,0.016776152,0.045924582,0.573903933
1417,3,2,60,0.294598744,0.045782978,0.846978905,0.6175076,0.750036097,0.615147601,0.58335942,0.185062382,0.458457312,0.7269969,0.521727383,0.515054226,0.676209988,0.676209987,0.211399317,0.196035146,0.020652466,0.470285478
1418,3,3,60,0.185402815,0.021848929,0.998894511,0.63674744,0.587836671,0.374643789,0.496229632,0.170679397,0.470143037,0.254010201,0.419930338,0.339818895,0.49722442,0.497224419,0.578770041,0.621865749,0.232919156,0.410414882
1419,3,4,60,0.123588594,0.051363208,1,0.495268075,0.437670332,0.208643163,0.330245178,0.163075709,0.578482776,0.502360463,0.641718625,0.664128243,0.835463525,0.835463525,0.61897856,0.625523087,0.219431981,0.373247621
1420,3,5,60,0.079360183,0.069537048,0.891711455,0.459386114,0.275485912,0.062099688,0.182825777,0.142244141,0.611574627,0.672623875,0.806378725,0.808815956,0.70432085,0.70432085,0.180027872,0.632302762,0.7506696,0.321756276
1421,3,6,60,0.060361726,0.18854261,1,0.304917829,0.204462139,0.009201547,0.148862034,0.109702701,0.662058722,0.872533974,0.693048419,0.639018657,0.693897006,0.693897007,0.532393395,0.48931092,0.5615834,0.316368935
1422,3,7,60,0.067578709,0.318521414,1,0.228376985,0.151754142,0.04307654,0.136723199,0.146135823,0.719373966,0.760546564,0.660449388,0.713025569,0.513225197,0.513225197,0.60433042,0.276764304,0.774443744,0.334731658
1423,3,8,60,0.142952427,0.388756126,1,0.139757102,0.111571336,0.126275068,0.091907831,0.160651657,0.712415925,0.686410488,0.671857594,0.503574014,0.390386344,0.390386344,0.458178996,0.502281607,0.593720199,0.345057279
1424,3,9,60,0.270712483,0.485557166,1,0.065773755,0.129029803,0.304587582,0.043380496,0.326846766,0.781012425,0.617920995,0.699344519,0.827972294,0.277821511,0.277821512,0.430459379,0.51162684,0.609255912,0.413879728
1425,3,10,60,0.397452489,0.483072862,0.99520965,0.02004245,0.127037699,0.412861115,0.018298849,0.341273423,0.770818514,0.588898063,0.573285222,0.727952656,0.564233303,0.564233303,0.732116819,0.757757307,0.398882508,0.437635395
1426,3,11,60,0.43769156,0.52523527,0.997059523,0.005980745,0.087540228,0.494225268,0.02435098,0.194109586,0.699542173,0.498154342,0.629509569,0.592965901,0.473948836,0.473948836,0.582201362,0.571990014,0.734978736,0.420728605
1427,3,12,60,0.464809036,0.526885609,0.978982112,0.014536379,0.076220667,0.586693368,0.020389752,0.142596301,0.666855458,0.364539504,0.405581415,0.425116449,0.453025937,0.453025936,0.573916852,0.512131571,0.826235648,0.419327869
1428,3,13,60,0.434621872,0.612754756,0.916361519,0.032178697,0.085556675,0.677118494,0.03243887,0.154604984,0.6906382,0.280912548,0.346419602,0.390903592,0.460621476,0.460621476,0.535239934,0.520044506,0.698481201,0.436799131
1429,3,14,60,0.480490836,0.607173745,0.818487755,0.031343536,0.116096279,0.731062801,0.040480805,0.228904583,0.689550173,0.314991414,0.335291326,0.350983501,0.481737405,0.481737405,0.515026272,0.499545455,0.600580217,0.453639898
1430,3,15,60,0.562704005,0.684244273,0.803575,0.034687639,0.173217647,0.767860289,0.08616162,0.31593882,0.727746795,0.349653363,0.384996593,0.426929235,0.513850212,0.513850211,0.598949193,0.535727441,0.702889327,0.50448621
1431,3,16,60,0.690035552,0.707225645,0.746422622,0.04935538,0.261753826,0.895366661,0.163539217,0.62268797,0.786250497,0.397955478,0.408845991,0.339683414,0.42452699,0.42452699,0.482300877,0.481302798,0.6709491,0.590049088
1432,3,17,60,0.725642993,0.75877301,0.806201434,0.080991801,0.385532082,0.857297606,0.236827475,0.959751083,0.873238721,0.343321055,0.289073885,0.307767928,0.474898369,0.474898367,0.353547782,0.404837013,0.604330597,0.670361457
1433,3,18,60,0.622294293,0.759076153,0.627347172,0.069551684,0.489911089,0.871240109,0.314345641,0.989735489,0.918175564,0.187148363,0.219824165,0.191717714,0.400720328,0.400720328,0.22862038,0.298127353,0.51136744,0.677459435
1434,3,19,60,0.80539849,0.896026792,0.613493808,0.081154016,0.599912196,0.826649602,0.244584596,0.998659096,0.996614268,0.083893351,0.247362867,0.056149859,0.43811357,0.43811357,0.117073595,0.164721608,0.49306342,0.753987057
1435,3,20,60,0.865958777,0.95297755,0.443990924,0.087994791,0.562834216,0.847050578,0.273205537,1,1,0.031507001,0.30920434,0.005167974,0.598412276,0.598412276,0.022975141,0.108541042,0.45781386,0.760580983
1436,3,21,60,0.821524918,0.860823043,0.473151575,0.406435979,0.490276653,0.934184236,0.266919618,1,0.983916462,0.012417702,0.315406799,0,0.589154542,0.589154542,0.002712544,0.120365501,0.441519916,0.76174077
1437,3,22,60,0.828774197,0.996671024,0.659524739,0.723403343,0.382516403,0.868727552,0.313003782,1,0.972405768,0.022663435,0.367175877,0.002164096,0.545369148,0.545369148,0.007026444,0.178651423,0.304605991,0.786904211
1438,3,23,60,0.813384722,1,0.776877125,0.883554182,0.399612152,0.779042589,0.486616523,0.99936323,0.888345079,0.059197903,0.514793336,0.049424,0.405716449,0.405716449,0,0.122067109,0.218981415,0.785084404
1439,3,24,60,0.861413464,0.777318535,0.750342984,1,0.550163643,0.704256817,0.542099404,0.999989265,0.874225173,0.616327525,0.423778892,0.372630149,0.396706253,0.396706253,0.067382507,0.045630619,0.213986247,0.797085007
1440,3,1,61,0.856831916,0.879397662,0.747256034,0.81873407,0.678377624,0.958721013,0.871684317,1,0.849769661,0.240878076,0.388381988,0.270032525,0.722323538,0.722323537,0.150121704,0.238862306,0.231245935,0.841830502
1441,3,2,61,0.805450166,0.972668994,0.733816436,0.765875346,0.775662334,0.628737742,1,0.997362879,0.824655708,0.568330407,0.411114276,0.227752536,0.74129605,0.741296049,0.15697597,0.251204074,0.173378676,0.825148751
1442,3,3,61,0.754190731,1,0.698693236,0.992283135,0.823944702,0.739097962,1,0.997244325,0.789582149,0.446123957,0.459778011,0.255105496,0.486612856,0.486612857,0.145772815,0.367204249,0.194512352,0.842607884
1443,3,4,61,0.690283547,1,0.685980709,1,0.788517656,0.730408767,1,0.99762562,0.785615832,0.54523015,0.541755319,0.620671987,0.474933683,0.474933684,0.238642871,0.274554848,0.243725196,0.824086729
1444,3,5,61,0.590292725,1,0.537422614,1,0.96375168,0.69559373,1,0.999444542,0.867668541,0.762206439,0.534332633,0.632785675,0.628626406,0.628626407,0.506502033,0.642229201,0.286169708,0.845329597
1445,3,6,61,0.610249214,1,0.517638087,1,0.887569868,0.773577655,1,0.967402172,0.8914014,0.69720435,0.779237031,0.87198365,0.655436519,0.655436518,0.463244617,0.517777443,0.342723101,0.846120627
1446,3,7,61,0.635461051,1,0.348995608,0.999260398,0.95658395,0.827229852,0.706602976,0.998314739,0.889510864,0.755638955,0.688650606,0.741490125,0.644812944,0.644812943,0.531908811,0.6979264,0.276308834,0.845223673
1447,3,8,61,0.673882903,1,0.228570451,0.798254045,0.900854549,0.851948168,0.324250838,1,0.87696586,0.688231406,0.632263781,0.641302587,0.6574648,0.6574648,0.616746901,0.657022656,0.275757492,0.802209226
1448,3,9,61,0.685506792,1,0.069106308,0.879547173,0.900854549,0.987508026,0.290295482,1,0.849623367,0.513338506,0.633508381,0.690447569,0.506348848,0.506348848,0.508749724,0.500332713,0.313349217,0.805429493
1449,3,10,61,0.760054982,1,0.028143313,0.805125935,0.900854549,1,0.955849978,1,0.772780692,0.506293297,0.561602294,0.632112625,0.546157003,0.546157003,0.454317152,0.483567923,0.224448919,0.823780507
1450,3,11,61,0.866032897,1,0,0.993394104,0.806138494,1,1,1,0.750757746,0.506953478,0.529108405,0.580723524,0.486606121,0.486606122,0.456551613,0.475747109,0.223492771,0.837459145
1451,3,12,61,0.863674387,1,0,0.891613051,0.751451076,1,0.780113016,1,0.722066338,0.506757737,0.56715703,0.543458939,0.461148441,0.461148441,0.473555564,0.474032104,0.230208635,0.802572411
1452,3,13,61,0.755432311,1,0,0.805125935,0.566837199,0.999934104,0.47090249,0.963857053,0.686967306,0.487910152,0.494363606,0.471333087,0.468184411,0.468184412,0.361728788,0.422152162,0.273657381,0.721525258
