Time,Month,Hour,Day,PJM_AP,PJM_ATSI,PJM_COMD,PJM_Dom,PJM_EMAC,PJM_PENE,PJM_SMAC,PJM_WMAC,PJM_West,osw_zone1,osw_zone2,osw_zone3,osw_zone4,osw_zone5,onsh_WIND
1452,3,13,61,1247.993062,897.2167109,0,599.0543456,843.3594765,759.6248218,210.5747675,581.4430368,1644.272547,14994.82742,14994.80589,14994.44844,50.5639164,356.475611,6783.538768
1453,3,14,61,1176.418395,897.2167109,0,599.0543456,475.5043615,758.0245133,226.1209148,525.0138832,1632.179359,14994.827,14994.79338,14994.67199,49.5672516,349.449124,6289.532483
1454,3,15,61,1219.716356,897.2167109,0,599.0543456,304.0818076,720.7109243,250.9457766,521.7854729,1649.189453,14994.82677,14994.80513,12508.75129,47.9160676,337.808277,6162.700847
1455,3,16,61,1233.194536,897.2167109,0,663.2946019,99.75746555,670.0630949,256.8006024,582.4875027,1640.17803,14994.77564,14994.78359,8651.175413,39.0697217,275.441538,6042.992545
1456,3,17,61,1250.051062,896.6872388,6.762440384,739.1353688,92.97635971,647.0569701,313.0513305,472.245531,1649.399039,14994.76025,14994.77183,8402.659108,39.3115711,277.146576,6067.365341
1457,3,18,61,1187.281131,897.0645373,9.298824359,692.7282407,90.81177654,654.6056583,284.4264991,300.420317,1607.347061,14994.75948,14994.77035,8992.862422,39.9384999,281.566424,5723.984045
1458,3,19,61,1167.937507,892.8776459,22.86978435,558.141842,75.67648208,605.4904805,73.38537305,249.5783054,1665.960236,14994.76069,14994.78128,9736.328378,41.9456441,295.716791,5311.917656
1459,3,20,61,1194.538163,890.5348928,41.49266197,599.0543456,75.67648208,602.15727,62.77053007,256.6751948,1744.204586,14994.76168,14994.77617,7876.289001,34.3375969,242.080058,5467.104127
1460,3,21,61,1214.916291,888.5684798,63.77050481,599.0543456,75.67648208,617.2192242,171.2650459,381.896953,1802.489312,14994.76247,14994.7676,8248.932539,31.7863076,224.093468,5814.856638
1461,3,22,61,1285.629261,868.3662967,191.4475339,676.0248297,214.2088269,639.1685072,302.1766198,493.5612389,1893.255853,14994.39262,14994.75972,8621.576077,31.0758355,219.08464,6563.838967
1462,3,23,61,1399.685792,787.3400979,305.3232801,642.1693341,384.0440805,679.290307,314.516499,533.7711954,1862.492139,14994.17364,14994.76154,9234.526636,35.1212032,247.604482,6908.632726
1463,3,24,61,1501.095563,797.2832747,312.3491711,674.3417311,706.3957938,725.1513845,437.7200662,551.270549,1897.953926,14994.27703,14994.76231,9918.975849,28.6577339,202.037024,7603.56146
1464,3,1,62,1495.087615,836.3762816,316.9548072,738.5104574,974.2327645,746.7359331,423.1238711,586.2048891,1779.53387,14994.17471,14994.32266,8264.481355,26.4256881,186.301101,7896.760489
1465,3,2,62,1516.506156,844.0016426,303.8515499,739.7557923,1340.405491,725.989958,447.1727631,599.1138475,1495.774475,14994.17442,14994.26375,6096.589454,43.3794629,305.825214,8012.571675
1466,3,3,62,1513.618975,862.4834722,282.3671578,744.0504889,1370.488943,737.5361683,446.5151829,590.3518392,1520.368508,14994.04877,14994.16029,4329.752464,62.160445,438.231137,8067.780735
1467,3,4,62,1491.5546,852.1442818,270.7949629,742.0639297,1371.171345,739.3800938,447.1727631,590.6548497,1484.030951,14994.53567,14994.06843,4966.255811,53.4446315,376.784652,7988.967777
1468,3,5,62,1387.194483,814.1334391,272.4874442,731.6781403,1372.275447,740.2307557,447.1727631,585.2305459,1459.244146,9852.814874,14753.16757,4496.023957,66.4785161,468.673538,7809.647165
1469,3,6,62,1299.296113,801.1322498,278.3338958,721.3314666,1340.880587,746.0387887,447.1727631,582.1207925,1390.918763,7583.537992,12200.88634,4051.24305,65.0002412,458.251701,7607.225419
1470,3,7,62,1281.959456,801.799043,300.1874445,723.2050985,1426.543782,747.0207833,447.1727631,569.5620277,1325.60085,6622.800628,9650.855956,7840.460828,64.7004947,456.138488,7623.051248
1471,3,8,62,1215.017661,822.7401033,308.8731862,717.722086,1441.093812,727.1306293,447.1727631,581.9865198,1275.445463,2055.05251,5130.758722,8526.694699,59.846853,421.920314,7537.182224
1472,3,9,62,1357.214755,746.6489301,174.2107096,738.4187767,1423.602596,732.6975134,447.1727631,590.27062,1124.719443,952.1928767,1067.64824,14894.61528,74.3335434,524.051481,7334.956107
1473,3,10,62,1379.943846,679.589175,114.5910304,744.0496609,1487.833682,722.6291477,447.1727631,572.8555003,1041.311907,917.0726355,323.7822353,14994.41076,76.2505461,537.56635,7189.976712
1474,3,11,62,1421.974908,668.9597543,117.6995674,744.0504889,1487.833682,721.4849171,447.1727631,599.3288602,1001.112353,2746.240104,1641.935876,14994.76083,69.1022765,487.17105,7209.617294
1475,3,12,62,1410.514597,624.9754192,123.5854282,735.6464871,1487.833682,741.4652613,447.1727631,602.4476472,976.2870255,5912.557508,5079.283695,14994.7584,84.7315877,597.357693,7149.928311
1476,3,13,62,1424.48377,612.4808997,115.4426117,726.6381116,1487.833682,741.6754515,447.1727631,603.1352527,954.2421622,8625.02943,7160.369069,14994.77132,80.2330083,565.642709,7113.104705
1477,3,14,62,1462.363768,648.480957,113.6459214,724.0297064,1487.833682,736.9740705,447.1727631,603.2461296,960.9920991,8906.935904,10020.42354,14994.7904,82.8367938,583.999396,7184.739098
1478,3,15,62,1498.533193,664.5407667,114.0057053,738.43894,1487.833682,735.8321228,447.1727631,603.2461296,990.234346,13127.71709,14351.33703,14994.80816,78.1696089,551.095743,7279.837649
1479,3,16,62,1512.337027,672.5945388,126.9716817,739.1304572,1487.833682,736.7626548,447.1727631,603.2461296,1018.986448,14994.20013,14994.0287,14994.79279,78.8596871,555.960794,7345.035383
1480,3,17,62,1499.943077,695.5608683,144.5322898,743.0950571,1487.833682,730.4865163,447.1727631,603.2461296,1042.980583,14994.62938,14994.3419,14994.80997,84.995163,599.215899,7394.850967
1481,3,18,62,1461.625195,632.9096125,199.1820137,739.2061631,1487.833682,730.4751901,447.1727631,603.1120659,1125.672138,14994.76161,14994.42024,14994.82287,84.4993944,595.720731,7427.188824
1482,3,19,62,1502.544233,706.5418782,311.9727513,744.0504889,1487.833682,729.7944242,447.1727631,602.1461797,1471.851854,14994.76177,14994.76214,14994.82708,87.7094966,618.351951,8003.908255
1483,3,20,62,1557.777588,756.3269216,322.844681,744.0504889,1487.833682,730.5007725,447.1727631,603.2384907,1869.355261,14994.54882,14994.76194,14994.85974,82.4716897,581.425412,8519.10065
